Name,Address,City,State
SPEEDWAY #9677,1401 LEESTOWN RD,Lexington,KY
PAPA JOHN'S PIZZA #88,2467 NICHOLASVILLE RD.,Lexington,KY
BASKIN ROBBINS ICE CREAM,115 NORTH LOCUST HILL  # 101,Lexington,KY
TACHIBANA  RESTAURANT,785 NEWTOWN COURT,Lexington,KY
TACO TICO,1483 BOARDWALK,Lexington,KY
TACO BELL #32414,320 NW NEW CIRCLE RD,Lexington,KY
TATES CREEK ELEMENTARY SCHOOL,1300 CENTRE PKWY,Lexington,KY
TATES CREEK GOLF CLUB,1400 GAINESWAY DRIVE,Lexington,KY
TATES CREEK HIGH SCHOOL,1301 CENTRE PKWY,Lexington,KY
BLUEGRASS CARE AND REHABILITATION CENTER,3576 PIMLICO PARKWAY,Lexington,KY
THORNTON'S FOOD STOP #48,1311 VERSAILLES ROAD,Lexington,KY
THORNTON FOOD STOP #52,1040 GEORGETOWN RD,Lexington,KY
THORNTON FOOD STOP #51,2300 WOODHILL DRIVE,Lexington,KY
THORNTON FOOD STOP #53,2291 ELKHORN ROAD,Lexington,KY
THORNTON FOOD STOP #38,802 N BROADWAY ST,Lexington,KY
THOROUGHBRED RESTAURANT,1483 LEESTOWN RD,Lexington,KY
SHERATON FOUR POINTS CAFE,1938 STANTON WAY,Lexington,KY
TOT 'N' TODDLERS,445 ASBURY LANE,Lexington,KY
TRINITY BAPTIST CHURCH,1675 STRADER DR,Lexington,KY
DONG YANG MARKET,"3101 CLAYS MILL RD., STE 102",Lexington,KY
TWO KEYS TAVERN,333 S. LIMESTONE,Lexington,KY
HILARY J. BOONE FACULTY CLUB,500 ROSE ST,Lexington,KY
GREAT BAGEL,396 WOODLAND AVENUE,Lexington,KY
VFW POST - 680,1494 LEESTOWN ROAD,Lexington,KY
MIRACLES & WONDERS PLAY & LEARN CNTR,1183 DEVONPORT DRIVE,Lexington,KY
PATCHEN PUB,153 PATCHEN DR #29,Lexington,KY
WAFFLE HOUSE #107,2340 BUENA VISTA RD,Lexington,KY
WAFFLE HOUSE #654,2203 NORTH BROADWAY,Lexington,KY
WENDY'S,1792 ALEXANDRIA,Lexington,KY
WENDY'S,2575 NICHOLASVILLE ROAD,Lexington,KY
WENDY'S,1499 BOARDWALK,Lexington,KY
WENDY'S,3010 RICHMOND ROAD,Lexington,KY
CARAMANDA'S BAKE SHOPPE,2901 RICHMOND RD #110,Lexington,KY
WHEELER'S PHARMACY,336 ROMANY RD,Lexington,KY
WHITE CASTLE #21,307 EAST NEW CIRCLE RD,Lexington,KY
WHITE CASTLE #22,179 EAST REYNOLDS RD.,Lexington,KY
WINBURN MIDDLE SCHOOL,1060 WINBURN DR,Lexington,KY
